dialogue,labels
"Yo, [player]! Whaddya want? [catchphrase]!",cranky
"Hey, hey, [player]! You got somethin' you wanna say to me? Is it ""[catchphrase]""?",cranky
"Yo, [player]! What're ya doin'? [catchphrase]?",cranky
"Whoa, easy now, [player]. Deep breaths... OK. Now tell papa what's up, [catchphrase].",cranky
"Oh. Hey, [player]. Whaddya want from me? [Catchphrase]?",cranky
"All right, you... You got some kinda problem or something? What's your deal, [player]?",cranky
"Yo! How ya doin', [player]? Hopefully well? [Catchphrase]?",cranky
"Whaat?! [Player]?! You're everywhere, [catchphrase]!",cranky
"Nice weather, huh, [player]? Nice days put me in a nice mood, you know? [Catchphrase]?",cranky
"Yo, [player]! Good to see ya!",cranky
"Hey, [player]! [Catchphrase]!",cranky
"Well, nighttime is nice for rechargin' your batteries, so take it nice and slow, all right, [player]!",cranky
So you wanted to talk to me?,cranky
"So, did you need something?",cranky
So what's up?,cranky
"Wait—what?! Whatever. See ya later, [catchphrase]!",cranky
"Oh! See ya later, [catchphrase]!",cranky
"Oh, really? Well, smell ya later then, I guess. [catchphrase]!",cranky
"Hey, [player], it's pop-quiz time! What do you think is easily the most important aspect for a man to live his life by?",cranky
"This might seem a little weird, but can I ask you a question? Be brutal. What do you think of me?",cranky
"I feel a little hungry! I'm in the mood for fresh fruit! I'm not picky, so any kind is fine! Have you got my back?",cranky
"Rumors are kinda scary, aren't they? As they get retold from person to person, more things get added and the story gets bigger and bigger!",cranky
"Say, [male villager] and [female villager] are together a lot, don't you think? Now, I'm not trying to say they look like super-close friends or nothing. It's more like a frank friendship... Well, I'm just trying to say the two of them seem to be doing well together, [catchphrase].",cranky
"On days like this, I want to down a cup of [oolong tea, mint tea, rice milk] and refresh myself by working up a sweat!",cranky
...Oh! I was just about to use the weather as an excuse! But I'm not gonna lose to the weather! I'm not gonna lose to anything! [Catchphrase]!,cranky
"There're ways to spend sunny days, and then there're ways to spend rainy days! But...sometimes you need the courage to do the opposite thing and surprise everyone! That's how new ideas are born! So let's birth some ideas! GAHAHA!",cranky
"If you do the same things every day, your body and soul will get stale. New challenges! New people! We need adventure! I bet it'd really spice things up around here if we got some visitors, or someone new moved into town...",cranky
"At this time of a day, in this place, if I just space out for a bit, my mind always drifts to the same thing... Tomorrow's the morning I'll get up early and shock everyone in town... Well, I say that now, but I've never actually done it! GAHAHA!",cranky
"If you press up, down, left, or right on + there, you can view my room from all sorts of angles! Play with it as much as you like, and take a good look around! You might find something cool, [catchphrase]!",cranky
Heh... Are you ready now? Sorry to inconvenience you or something!,cranky
"Oh, I see... Well, your room is a lot cleaner than I expected! I thought it'd be so messy that you wouldn't even be able to see the floor! [Catchphrase]!",cranky
So how are the other rooms?,cranky
"When I buy furniture on a whim, I'm so excited that I bolt straight home, no matter where I am... Regardless of how old I get, there's just something fun about brand-new pieces of furniture! [Catchphrase]!",cranky
"Heh. It's not exactly what I was expecting, but I think it's safe to say this room has your personality.",cranky
No wonder this room feels so plain. You've got nothing on your walls!,cranky
"Other people might call this place a mess, but if it works for you, then what's the problem, right? Home is what you make of it! Am I right or am I right?",cranky
"I feel like I've seen your couch somewhere before... Ah, that's right! Now I remember! It's the [type of sofa or chair]! It was in a magazine the other day! ...What's the matter? Yeah, I read magazines sometimes. What of it?",cranky
"Come on, [player]. Take it easy and just relax! It's not like I'm here to scrutinize every last detail of your home! GAHAHA! [Catchphrase]!",cranky
I don't think you could ever get bored living in a room like this. I certainly wouldn't! [Catchphrase]!,cranky
"If there's anything you don't want me to touch, just let me know in advance, OK? I mean, you probably expected me to come in here and touch all your stuff anyway, but...just to be safe!",cranky
"We could talk for hours, but if you really want to understand people, take a look at their rooms. I'd say this room speaks volumes about who you really are on the inside! [Catchphrase]! GAHAHA!",cranky
Hmph. I suppose that's one way of arranging furniture! I think I sort of understand what you're going for...,cranky
I can tell you probably spend a lot of time in this room! It seems so comfortable to live here!,cranky
"Mm-hm, I see! So this is where you keep your mansion, huh? It seems pretty cozy, right? [Catchphrase]!",cranky
"If you compare the smells of other people's rooms, you can definitely tell the difference... Wait! Don't get me wrong! I don't think your room stinks! Er, and I don't go around sniffing rooms!",cranky
"Well, I think it's about time for me to hit the ol' dusty trail! We didn't really talk about anything important, but it was fun hanging just the same! [Catchphrase]!",cranky
"Hey, how ya doin'? I thought I'd set up camp here for a little while!",cranky
I didn't do any research or anything before choosing a place to camp. I think I lucked out with this town!,cranky
"I heard the local specialty is one of my favorites, the [fruit]! I love this town! GAHAHA!",cranky
"If you're camping, you gotta eat some chili, right? My homemade chili gets an extra kick from the [town fruit] I put in it. It's good! In fact, it's the best!",cranky
Sometimes it gets a little miserable sleeping in a tent... But that's all part of the experience! GAHAHA!,cranky
"Camping! You could also call it ""battling mosquitoes""! You wanna know how I deal with them? I don't! I don't play their little games. It's a battle of wills!",cranky
The best part of camping is easily the food you get to eat! I wonder why eating outside makes everything taste so much better...,cranky
"Hey, hey, [player]! What do you think you're doing exactly? Stop pushin' me around!",cranky
"Look, [player], you've been pushing me around on purpose, haven't you? Well, cut it out, [catchphrase]!",cranky
"Look, [player]! Don't just push me around! You startin' something? Go away! [Catchphrase]!",cranky
"...[Player]! Stop pushing me! If you need to say something, just speak up!",cranky
"Oh, whoa! Who set up in this little trap?",cranky
"Wh-What's going on?! My butt is stuck, and I can't get out!",cranky
Who?! Who did this?! I'll get Youuuuuu!,cranky
"Hey, punk! Why'd you hit me?",cranky
"Ouch! What gives, [player]?! If you wanna fight, bring it on!",cranky
"Ooooooh, barbells... That was a good solid hit. You got me good...",cranky
Durg durgit! I'm surrounded by a bunch of jokers! [Catchphrase]!,cranky
Leave me alone! I want to be with myself for a little while!,cranky
"Argh... Look, I'm in a bad mood. If you don't want to hear me say something mean, you should just go away! [Catchphrase]!",cranky
"'The longest day of the year.' When I was a kid, hearing that would really get me fired up! Doesn't it make it sound like you can play even longer than normal? Nowadays...the first thought that runs through my head is, 'It's really hot outside!' Awwww man, just listen to me! I've become one of those good-for-nothing adults! [Catchphrase]!",cranky
"Yo, [player]! [Catchphrase]! That sun really isn't going down!",cranky
"When we go from spring to summer, the days get warmer and warmer... Then the season kicks it up a notch at the Summer Solstice! If you're not a fan of heat, man, these next few months are gonna be brutal! That sun'll melt your face if you're not careful, so you'd better be careful! GAHAHA!",cranky
"Yo, [player]! [Catchphrase]! Uhh, good evening? Right?",cranky
"Once we hit the Summer Solstice, that's when I can really slip into the summer mind-set! Make sure the heat doesn't wear you out, though, [player]!",cranky
It just stays bright forever! [Catchphrase].,cranky
"Yo, [player]! I just realized it was [time]! It's the Summer Solstice, so the sun won't go down! It makes me want to party all day, [catchphrase]! OK, perhaps not ALL day. I'm not really in my prime party years like I used to be.",cranky
There isn't even an hour left until the new year starts! I'm starting to get really excited!,cranky
"Hi there! Do you, like, need me for anything?",peppy
"Hmm? What's up, [catchphrase]?",peppy
"Hiya, [player]! What's going on, [catchphrase]?",peppy
"Hey! Good evening! What a lovely night, [catchphrase]!",peppy
"Hey, how lucky am I? You're so chatty today, [catchphrase]!",peppy
"Oh! It's you again, [player]. Yeah, let's party all night long, [catchphrase]!",peppy
"Time again for another talk? Of course, [player]!",peppy
"Woohoo! Want to talk, [player]?",peppy
"You want to talk again? Awesome, [catchphrase]!",peppy
"You're looking so YOU today, [player]!",peppy
"Woohoo, [player]! Still running around, I see! What do you want to talk about, [catchphrase]?",peppy
"Ohmigosh! Hi again! Nice Afternoon, right? What's up?",peppy
"You want to talk again? Awesome, [catchphrase]!",peppy
"Time again for another talk? Of course, [player]!",peppy
"There you are again for the umpteenth time today, [player]! Wait! Has it been a thousand times already? Infinity times? Number... exceeding...brain capacity!",peppy
"I keep seeing you again and again, [player]. Or, NO! Am I stuck in a time loop? I've got to break out! I mean, I like you, but that's just too much!",peppy
"Woohoohoo! How many times have I seen you today, [player]? Or, wait, have you been CLONED? Ohmigosh, I hope I'm friends with all of you!",peppy
"Hey, [player]! I keep hearing people say you're, like, totally a [reputation]. I'm way jealous that you're the center of attention right now! That's supposed to be my job!",peppy
Just an average day in [town]! But that doesn't mean we shouldn't be dressing up to the nines! We can't slack off in the style department just because there's no big event to attend!,peppy
"Pete's super busy making deliveries today. He'd better be careful with all my fan letters! I'm expecting him to drop off, like, a whole bunch of 'em. I'd better clean up my mailbox to make room!",peppy
"What's the word in [Town], [player]? C'mon, I'm dying to hear the latest gossip! Hmm... You're not talking. Oh! You must be keeping a sworn secret! Spill the beans, [catchphrase]!",peppy
"What do you think of this look? Yeah, I'm trying to be SO very cute today. I think my outfit would totally flop if it wasn't for the cute [clothing] I have on!",peppy
"Hmm... Now, where did I put that silly mountain bike? UGH! I'll never find it in all of these boxes!",peppy
"Anytime I see [male villager] and [female villager] hanging out together, I'm all like, look at those two! They seem to have the perfect relationship. Nothing too serious, but totally not shallow, either. Sometimes I forget that friends are for fun, you know? We could learn a lesson from those two!",peppy
"Do you think [Villager 1] and [Villager 2] are good buddies? They seem like they would be. I mean, it's not like they're BFFs or anything...but they don't hate each other. That's a good start!",peppy
"Hey, [player], ever wanted to be a pop star?",peppy
"Hey, what do you think of my whole look today?",peppy
"I'm a big fan of fairy tales, but I always forget the endings! Can you help me remember one? So what did that nasty, evil witch give to the beautiful princess?",peppy
"So if you were to try any of these extremely, extreme things, which would it be?",peppy
Hey! It's [player]! I knew you wouldn't be able to stay away once you heard I'd be here!,peppy
"Yoo-hoo, [player]! Let's dance! We've really got to live it up in honor of [birthday villager]!",peppy
Do you think [birthday villager] liked the present? I bet you make sooooooo happy.,peppy
"I wish it was MY birthday! I'm glad it's [birthday villager]'s special day, but I'm totally bummed out! Promise me you'll come to my next birthday party, [player]! And bring me an awesome gift!",peppy
"Birthday bashes are the best! Seriously, I'm always looking for an excuse to par-TAY!",peppy
"This has been SUCH a fun party! I got to see you, AND I got to eat cake. It's, like, the perfect day! Wouldn't it be nice if every day was someone's birthday? Just imagine all the parties, [catchphrase]!",peppy
"[Birthday villager] must be pretty happy. Not only is it [his/her] birthday, but the coolest people in town are here! By the way, when I said the coolest people in town, I totally meant you and me.",peppy
"Hey! You SO clearly don't want to be good friends with me. You'd better stop that, [catchphrase]!",peppy
Knock it off! Why are you pushing me?! Do you think it's cute or something? Because it's NOT!,peppy
"That's seriously annoying! You DO know that, right, [catchphrase]?!",peppy
"Eeeek! That's totally awful! Why would you DO that, [catchphrase]?",peppy
"What's up with you? Don't you think it's awful, [catchphrase]?",peppy
